Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\11_11_Paige_ZincTreated qPCR.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2019-11-11 13:09:09 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SD,HK Control ΔCт Mean,HK Control ΔCт SD,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,HIGHSD,EXPFAIL,MTP
B7,BCC SS 4.8 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,15.91646385,16.16136169,0.346336514,,,,,,,TRUE,7376.434724,TRUE,3,9,1,84.08763885,,,,N,N,N
B9,BCC SS 4.8 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,16.40625763,16.16136169,0.346336514,,,,,,,TRUE,7376.434724,TRUE,3,9,1,83.94001007,,,,N,N,N
C1,BCC SS 0 uM Zinc,GLI1,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,1531.834488,TRUE,3,39,1,76.48138428,,,,N,Y,N
C2,BCC SS 0 uM Zinc,GLI1,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,1531.834488,TRUE,3,39,1,74.98963928,,,,N,Y,N
C3,BCC SS 0 uM Zinc,GLI1,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,1531.834488,TRUE,3,39,1,73.48712921,,,,N,Y,N
C4,3T3 SS 10 uM Zinc,GLI1,UNKNOWN,SYBR,None,0.860264003,0.485250741,1.525096416,22.92581367,23.48445702,0.622878373,,7.917319298,0.82604903,,,0.217148617,TRUE,1531.834488,TRUE,3,18,1,87.36432648,,,,Y,N,N
C5,3T3 SS 10 uM Zinc,GLI1,UNKNOWN,SYBR,None,0.860264003,0.485250741,1.525096416,24.15609932,23.48445702,0.622878373,,7.917319298,0.82604903,,,0.217148617,TRUE,1531.834488,TRUE,3,19,1,87.37749481,64.39765167,,,Y,N,Y
C6,3T3 SS 10 uM Zinc,GLI1,UNKNOWN,SYBR,None,0.860264003,0.485250741,1.525096416,23.37145615,23.48445702,0.622878373,,7.917319298,0.82604903,,,0.217148617,TRUE,1531.834488,TRUE,3,18,1,87.52671051,,,,Y,N,N
C7,3T3 SS 6.9 uM Zinc,GLI1,UNKNOWN,SYBR,None,0.971387863,0.937250018,1.00676918,24.2528038,24.26075363,0.011244105,,7.742051125,0.051613573,,,0.041880608,TRUE,1531.834488,TRUE,3,20,1,87.51909637,63.79725647,,,N,N,Y
C8,3T3 SS 6.9 uM Zinc,GLI1,UNKNOWN,SYBR,None,0.971387863,0.937250018,1.00676918,24.26870537,24.26075363,0.011244105,,7.742051125,0.051613573,,,0.041880608,TRUE,1531.834488,TRUE,3,21,1,87.36990356,84.08763885,72.89808655,,N,N,Y
C10,3T3 SS 4.8 uM Zinc,GLI1,UNKNOWN,SYBR,None,0.815518558,0.70195365,0.94745636,24.33654785,24.27053452,0.093356952,,7.994380951,0.216341838,,,0.294210434,TRUE,1531.834488,TRUE,3,21,1,87.37188721,74.53965759,,,N,N,Y
C11,3T3 SS 4.8 uM Zinc,GLI1,UNKNOWN,SYBR,None,0.815518558,0.70195365,0.94745636,24.20452118,24.27053452,0.093356952,,7.994380951,0.216341838,,,0.294210434,TRUE,1531.834488,TRUE,3,21,1,87.07374573,75.58802032,,,N,N,Y
D1,BCC SS 0 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,7376.434724,TRUE,3,39,1,77.07808685,,,,N,Y,N
D2,BCC SS 0 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,7376.434724,TRUE,3,39,1,75.58633423,,,,N,Y,N
D3,BCC SS 0 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,7376.434724,TRUE,3,39,1,73.03947449,,,,N,Y,N
D4,3T3 SS 10 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,15.95079041,15.56713676,0.542567492,,,,,,,TRUE,7376.434724,TRUE,3,9,1,83.93232727,,,,Y,N,N
D5,3T3 SS 10 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,15.18348408,15.56713676,0.542567492,,,,,,,TRUE,7376.434724,TRUE,3,9,1,84.0946579,,,,Y,N,N
D7,3T3 SS 6.9 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,16.48308372,16.51870346,0.050373912,,,,,,,TRUE,7376.434724,TRUE,3,10,1,83.93844604,,,,N,N,N
D8,3T3 SS 6.9 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,16.5543232,16.51870346,0.050373912,,,,,,,TRUE,7376.434724,TRUE,3,10,1,83.93844604,,,,N,N,N
